phylum,class,order,family,genus,species,asv_id,ndf,ddf,f.value,p.value,fdr.bh
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV15,4,76.57220571196802,1.2795218283255656,0.2854315755659885,0.6953455855497098
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV17,4,15.361163950079451,0.5031040895154513,0.7340728059681443,0.8917513429129974
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,NA,ASV20,4,18.93416606094587,20.752501938593504,1.043321165926279e-6,5.97402882794958e-4
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV22,4,10.95141337679208,2.0809616952376304,0.15222542761705432,0.5536321705949483
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Cysteiniphilum,Cysteiniphilum litorale,ASV25,4,18.405836755254697,11.703524193307707,6.680828982212774e-5,0.008774155396639444
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,NA,NA,ASV26,4,27.722902754904226,2.5576204872221053,0.06089524963857964,0.3930661855189018
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV30,4,26.809290335259774,5.482367858423127,0.0023298781392624766,0.12416460975046108
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter italicus,ASV35,4,9.745911132721801,3.65401877257732,0.045162471389464984,0.3584615290218482
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV36,4,9.666344944978706,2.8222395885863607,0.08563485531469286,0.44296555052946246
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,NA,ASV37,4,90.09132291646593,4.1890498887490395,0.0037111831892751457,0.13292783423403703
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV39,4,16.45030328505763,1.1826362286056467,0.3548058149782458,0.7409027613313939
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,NA,ASV40,4,24.80167437028721,8.508871689692743,1.8196058724622184e-4,0.02150774141250342
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,NA,ASV41,4,25.93995276980376,7.096034768718753,5.335000268068934e-4,0.04598698064405502
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV48,4,73.50332866213957,0.7941216390725173,0.5327771419295687,0.8179146901394384
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV50,4,12.398484966453795,1.051808824694341,0.42017055944905,0.7700873739336882
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV52,4,78.12596399382019,0.7609824291449353,0.5538193728653439,0.8296761707564467
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,NA,ASV54,4,9.952945750761286,3.9569399028370134,0.035565282969748695,0.3160764245882929
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV56,4,25.17530145518751,4.200141600074963,0.009685652397796634,0.170872255734263
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV58,4,91.18688312200761,2.53872388549647,0.04518677480901471,0.3584615290218482
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Henriciella,NA,ASV64,4,9.539758288982041,0.4030633292316815,0.8022440921347362,0.9135213695196285
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA,ASV65,4,16.000557486864924,3.403185666600362,0.03397305300269242,0.31128797402467007
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA,ASV67,4,93.99999999940664,1.4485359502244808,0.224206470651619,0.639931950321052
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV68,4,12.237187651558148,3.8138333136969407,0.03105176134979866,0.30084575340542635
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV69,4,22.989403499084784,2.7690205081649317,0.051569814719013826,0.38260825478385097
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV71,4,27.449437877370524,2.3061765228006954,0.08349124762082491,0.4404573274558503
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV75,4,16.181612810071197,4.851359042933168,0.009206744725110436,0.16742111177046978
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter venetianus,ASV80,4,73.32846208300799,0.704153991947209,0.591627714021232,0.8372908765498263
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Olleya,NA,ASV82,4,13.566216051327714,3.6484042061605457,0.03186240138559873,0.3037206325627234
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia marina,ASV83,4,10.14206435389655,4.426877561172428,0.025184443826941794,0.2706182963949564
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,NA,ASV84,4,21.369760289114463,1.6786950990739768,0.19180014341170443,0.6061705067182744
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV85,4,93.99999999891705,1.2712593412462028,0.2868422915722315,0.6953455855497098
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV86,4,10.491557102864705,2.8870952841750723,0.07634699517381806,0.4256705108276082
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV87,4,10.989552740980452,9.101250471815648,0.0016979565518144893,0.1064619563001875
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV92,4,23.409242352566018,4.580074112121528,0.007072167323801528,0.14963365576091153
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea,ASV93,4,91.02267756313938,14.088755004093692,5.497608908469801e-9,6.498173729811305e-6
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV94,4,19.97780554121631,1.7819710416366432,0.17213166361965976,0.5780103022682893
Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,NA,ASV97,4,18.605205252611793,5.393026685973027,0.0046503031280393575,0.14507563693597697
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV98,4,10.403059484095424,3.3560251482745174,0.05276679082749878,0.38260825478385097
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV100,4,93.9999999989303,1.0306677389714558,0.3956364688891535,0.7522412760298702
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV103,4,94.0000000008912,3.7697666696031824,0.006887567028083851,0.14963365576091153
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV104,4,23.397769137985883,1.4102727912833428,0.26150571112636256,0.6837454563762453
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV105,4,16.509510770231135,2.0636153539489595,0.13202601980178622,0.5217092925452669
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV107,4,19.05371790656458,1.8817231343598144,0.1550578210693871,0.5570444308793701
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV108,4,14.694737806790036,0.40370976142815973,0.8030022867435651,0.9135213695196285
Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae,Lewinella,Lewinella cohaerens,ASV109,4,9.907304992198302,1.1909113316685354,0.37305322251193473,0.7472161139564862
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV110,4,16.24107595292639,2.893471659368341,0.05544955863059222,0.383282914043041
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV112,4,10.089847706345518,2.551216556738839,0.10410686927588736,0.48755755234396425
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum litopenaei,ASV116,4,94.00000000039182,3.764660543637476,0.0069414242862974335,0.14963365576091153
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV118,4,9.775316324316742,1.538633904543576,0.2655045764674195,0.6850353563978849
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV122,4,12.157476235150785,5.289698663474343,0.010600690505631331,0.17647910109374976
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV123,4,9.607063126814236,0.8777197087680012,0.511923388483461,0.8066276736090259
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,NA,ASV124,4,9.560454311920456,8.15381888908875,0.003895191598343863,0.13541519027183666
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea tangerina,ASV126,4,11.351271581579187,5.380795260951039,0.011284314765250636,0.18271315140446923
Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group,NA,ASV131,4,17.219249227890906,2.8810142904300755,0.05403883579373481,0.38260825478385097
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV133,4,12.880220228905022,0.7113055966140042,0.5987909543181321,0.8397471426623182
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens tegetincola,ASV134,4,27.330744943619983,2.0090351011002134,0.12121219539825487,0.5062643638188596
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax jadensis,ASV135,4,9.934014938875656,4.992981091846342,0.01810586293342435,0.2547753569917569
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV136,4,25.275553735145543,0.9536989369789984,0.44969830578089387,0.778726317748266
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV137,4,9.80567599581435,1.2843633806546573,0.3404066004053116,0.735179445975965
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio tubiashii,ASV141,4,26.316591093824947,0.9174153390064252,0.4685013906858614,0.786221558205855
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Stieleria,NA,ASV142,4,27.762945377525693,2.099151098623218,0.10781048286786675,0.48755755234396425
Myxococcota,NA,NA,NA,NA,NA,ASV144,4,81.22382445469066,3.5487558074803713,0.010158772839555266,0.17246688487872927
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus,ASV145,4,25.620385152700074,0.684136176394915,0.6094324712410797,0.8397818013334163
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,ASV146,4,11.057091143039516,4.339009786456109,0.023722204717288198,0.26961198053687163
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV149,4,12.897572186420016,3.689557152604143,0.032446664755625125,0.30438061699324526
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstiella,Fuerstiella marisgermanici,ASV150,4,91.48570374946527,3.7526580558992264,0.007142139327947594,0.14963365576091153
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV151,4,10.064190634380443,3.852850261874193,0.03777070776706558,0.32587574146475556
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,NA,NA,ASV152,4,93.99999999910358,1.9475910681889879,0.10896245133314231,0.48755755234396425
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,ASV153,4,10.389047781347106,2.8575911017383433,0.07882418722494751,0.4295692684713152
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,NA,ASV156,4,10.149894905020325,3.8691920912674496,0.03696185325295123,0.321241989301385
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus,Aureicoccus marinus,ASV160,4,12.124426129672301,3.7177024067431717,0.03388871453170158,0.31128797402467007
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV161,4,9.958826108501542,1.5213073743013994,0.2687953031893202,0.6850353563978849
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV165,4,10.190356017306405,2.118926813581364,0.15169120684451737,0.5536321705949483
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,NA,NA,ASV166,4,18.6276489658765,6.078365635200862,0.002625705791780672,0.12416460975046108
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV167,4,90.73127749634482,1.094313777042457,0.3642257743898123,0.7435489902051091
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV168,4,24.538924643562925,1.4701074952636122,0.2416536980014291,0.6627254548438265
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus,ASV171,4,93.99999999861083,0.48966678365466376,0.7432964258392984,0.8937704733896752
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,NA,NA,ASV173,4,10.347167533480812,0.6340466858869863,0.649316181207163,0.8544684002854087
Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA,ASV174,4,10.477513069310628,10.61802577469534,0.0010719331987784054,0.07918906505975469
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV176,4,93.99999999995502,0.48268000302333053,0.7483839417831271,0.8953338250887207
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA,ASV178,4,24.636160599441173,1.114076670559515,0.37236272680825117,0.7472161139564862
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,ASV179,4,16.47266941771095,2.04659504780286,0.13461830653047263,0.5217092925452669
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV182,4,93.99999999878754,0.8045547760478108,0.5252949649891303,0.8137596967459397
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella poriferorum,ASV183,4,26.418172818290433,4.643725637356236,0.005692060717008819,0.14507563693597697
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV184,4,10.122209813772026,3.500810455366095,0.048549702424810555,0.3726347290008187
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea tangerina,ASV185,4,24.418046760294942,11.402662095651527,2.320022841633651e-5,0.0034278337485137192
Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae,NA,NA,ASV187,4,10.660922208631924,2.427311361460082,0.11224474222043263,0.4883197560454472
Verrucomicrobiota,Opitutia,Puniceicoccales,Coraliomargaritaceae,Coraliomargarita,Coraliomargarita akajimensis,ASV189,4,24.643334464617496,3.314943073862954,0.026380925597366104,0.2757377819179798
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia marina,ASV191,4,27.069753593739595,4.339331418950082,0.007696616556223204,0.14963365576091153
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV193,4,23.34909841327533,1.723189615041653,0.17868398496281002,0.5866790839612261
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,NA,ASV194,4,10.021853266413139,2.246581008111656,0.1363005188166814,0.5217092925452669
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV195,4,91.13715397545637,3.1424938291473317,0.018091089002184223,0.2547753569917569
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV197,4,9.909649986441877,3.1557552161055002,0.06446838546076566,0.3968834979928386
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV200,4,23.82478494775993,4.514855793076648,0.007398067364904369,0.14963365576091153
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV201,4,93.99999999986964,2.503794043054826,0.04740561539799816,0.3686410355291699
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina fontislapidosi,ASV202,4,93.99999999851829,0.18168537113004857,0.9473752476117796,0.9784139861472158
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,NA,NA,ASV203,4,10.359640849952111,2.563233861187364,0.10134273015763237,0.48555478071352826
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV205,4,9.858884356673078,0.5579169587931619,0.6984986771096577,0.8792603155949046
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,NA,ASV206,4,12.316433462593654,0.4339006230786603,0.781772808620778,0.9095034053048815
Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Pelagibacter,Candidatus Pelagibacter ubique,ASV207,4,22.278619076388534,2.1578396928361054,0.10709647152932858,0.48755755234396425
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV209,4,26.14031705478138,2.0960297421943532,0.11002089471841699,0.48755755234396425
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus,Thalassolituus maritimus,ASV210,4,21.491334114621047,3.3425988501880166,0.028305208819650853,0.28353183749853655
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea tangerina,ASV217,4,74.80335952586819,9.37515237628717,3.3850244212262965e-6,0.0010002747164723706
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,ASV218,4,20.45735914107381,6.832075888962245,0.0011666362353966201,0.08111553119051794
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV222,4,9.676886427533674,4.871090410348491,0.020355312528088775,0.26549717059216654
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter salsuginis,ASV228,4,10.506101222839193,3.1252884781148706,0.06276001546886992,0.3930661855189018
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV237,4,11.143839208984627,2.1718402997288564,0.13865552927052804,0.5286801148314972
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV241,4,93.99999999916868,0.9551206274023171,0.4359721808591369,0.7725923804730133
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV243,4,11.364161349534998,1.2301682534584455,0.35178213715207696,0.7409027613313939
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV248,4,9.882148883799596,2.7130846231382364,0.09212594741745293,0.45946358585413233
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV250,4,90.5296649726333,2.940422558311885,0.024632457699480432,0.2706182963949564
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,ASV251,4,11.052007499008607,12.759656805998121,3.9947321323662976e-4,0.03934811150380803
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV252,4,11.63682051477596,1.6337445283581795,0.23124231368220516,0.6476976653373614
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Thaumasiovibrio,Thaumasiovibrio occultus,ASV253,4,10.284597883863713,2.284372957843457,0.13004782026121886,0.5210729611822397
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV256,4,10.382974427346637,6.32715323307172,0.007699397389784469,0.14963365576091153
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV259,4,12.10769023428369,1.7312628906063354,0.2071557300432784,0.6246379410998854
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,NA,ASV261,4,10.121621126627861,1.0043136432100976,0.449125589804191,0.778726317748266
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV263,4,12.675995385980126,1.7366091954630816,0.20336285155637873,0.6147695410220962
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter faviae,ASV264,4,26.08928891607615,3.901155553693149,0.012987104898790867,0.2019836577680369
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV265,4,10.92186187119469,1.1359390586023947,0.38969304422853035,0.7522412760298702
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV266,4,10.078804678566938,0.9015290441411786,0.4983912365021512,0.8043786219536532
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV269,4,21.521781528067834,1.7010716823909884,0.18647319320509495,0.5973211788158703
Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Pelagibacter,Candidatus Pelagibacter ubique,ASV270,4,20.623162481227055,0.9997095416602537,0.43014188016260946,0.7700873739336882
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,ASV271,4,11.586309090013952,1.2136139760968057,0.3569688742204842,0.7409027613313939
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tritonibacter,Tritonibacter multivorans,ASV272,4,26.82578875844236,4.625631732466402,0.005695779786442378,0.14507563693597697
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,ASV273,4,17.508130149485904,4.0194955457103,0.01731897040184242,0.25272867919725606
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,NA,NA,ASV275,4,22.5026277086049,3.3293424242198673,0.027735378180270893,0.2801984359750444
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV279,4,93.99999999995732,2.867524364060752,0.02729398515440422,0.2799003324180888
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV280,4,25.920333458902608,0.3920013924851083,0.8124244655995008,0.9198139064546071
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV282,4,24.368103442257905,1.7702485257599154,0.16727459228146,0.5697941443132153
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,NA,ASV283,4,78.80829025657,0.6740446763444042,0.6119439513909435,0.8397818013334163
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV285,4,11.387607939740018,3.219360131764534,0.05416486842714907,0.38260825478385097
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella algicola,ASV288,4,17.79671465875385,2.545999601738213,0.07560245599234146,0.42553382372832194
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV289,4,11.538130656780412,0.41574747545761426,0.794110717764027,0.9125636023917658
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV291,4,93.99999999838616,3.9562667014097603,0.005183156278788479,0.14507563693597697
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV292,4,11.712714926488923,2.030600753555469,0.1553968078249786,0.5570444308793701
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,ASV294,4,93.99999999665846,3.614029264384078,0.008735388341989999,0.1613317034411278
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium hamelinense,ASV296,4,10.307102486742101,6.351057337528731,0.00772221066109611,0.14963365576091153
