phylum,class,order,family,genus,species,asv_id,VAR_p.value,chisq.value,df,p.value,q.value
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV75,0.08689287372906734,20.013609276721517,4,4.963193670161042e-4,0.004385265797162028
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter venetianus,ASV80,0.018013689259308685,2.9855321300712667,4,0.5602494759846155,0.45109051991472693
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Olleya,NA,ASV82,9.380420820356324e-6,17.166658356684575,4,0.0017940060673435876,0.010951648945652056
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia marina,ASV83,4.830944961036765e-14,25.071449861006666,4,4.8672690792647826e-5,6.809142303488507e-4
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,NA,ASV84,0.6635051320704568,8.142981020062026,4,0.08647882009371259,0.15044256956604093
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV85,0.14297994125896252,5.355518044348153,4,0.2527244746082078,0.29987901349784996
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV86,6.836088487435138e-5,13.68649689584154,4,0.008365866558632598,0.032285682863135795
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV87,9.776347052272062e-7,38.85801378621653,4,7.453096981808224e-8,3.010393895939378e-6
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV92,5.821180974149695e-14,25.505316396652425,4,3.980866047847721e-5,5.811229461868569e-4
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea,ASV93,8.700092018177431e-10,59.29291626419037,4,4.084012990161552e-12,4.5707151450120687e-10
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV98,3.258131526243395e-4,14.257111449015971,4,0.006518099297110902,0.026367027730040706
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV103,0.37374122632521845,15.881146584254129,4,0.003182864891904168,0.015412997620504573
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV104,0.01161561884805194,6.184320480541985,4,0.18579948330124715,0.2555390141723964
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV105,0.15460619649243304,7.773390551227065,4,0.10024089765775247,0.16337892072846666
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV107,0.06646691043330599,8.050934198415034,4,0.089730127699870807,0.1523695414811458
Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae,Lewinella,Lewinella cohaerens,ASV109,6.789367528504148e-4,5.045256234503309,4,0.2826853656429276,0.322420247503114
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV110,0.0028404747314953733,12.084240647875786,4,0.01673570167279672,0.0473005710817023
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV112,6.865054456846457e-4,9.910402386883847,4,0.041964292302942,0.09584751658645746
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum litopenaei,ASV116,7.205555989056606e-4,15.859633678516442,4,0.0032134152863521233,0.015412997620504573
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV118,0.0024615113842605604,7.40484032867227,4,0.11597938031653142,0.18455109431329017
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV122,0.008938011783753549,21.992308187535517,4,2.0112821100985945e-4,0.0021198526745317948
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV123,1.037270999291425e-6,4.687393823972159,4,0.3209018848524971,0.35441898740242544
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,NA,ASV124,1.6540137000452385e-23,34.13280265411604,4,6.998866846469768e-7,2.1362562288709348e-5
Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group,NA,ASV131,0.5075644010201593,12.890822274932253,4,0.011821761517491893,0.03969177218991923
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV133,0.0011778735212817876,3.036992873212937,4,0.5516539313392786,0.4463103074068204
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens tegetincola,ASV134,2.767180449733296e-7,NA,4,NA,NA
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax jadensis,ASV135,0.33894150918558275,21.202933655461386,4,2.8863856665884514e-4,0.0027688830385498675
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV136,0.02591945531586888,4.05418021903106,4,0.398723010942245,0.3891626514811591
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV137,0.3693523022044458,5.5331632631525896,4,0.23682974525130482,0.28966056881406765
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio tubiashii,ASV141,3.2862147377185736e-6,4.173503214895774,4,0.3830336903825207,0.3824388054718837
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Stieleria,NA,ASV142,7.043559517787022e-5,8.768125947834694,4,0.06716387938259193,0.130349078703181
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus,ASV145,0.0012048424700312824,2.465173743539249,4,0.6508826420123153,0.48235570607058553
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,ASV146,4.5474871220831823e-7,18.83658641555853,4,8.462210157820985e-4,0.006929760834019718
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV149,0.014489263784276736,16.586066258518965,4,0.00232562110026045,0.012800514331137608
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstiella,Fuerstiella marisgermanici,ASV150,5.297870941303332e-4,15.553453260643014,4,0.0036808075301351874,0.016700508124748253
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV151,0.0010011150853912229,16.175392692396,4,0.0027926204420981307,0.014217881708342376
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,NA,NA,ASV152,0.17885524446684517,8.204745341519507,4,0.0843595709222663,0.14818563952269254
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,ASV153,0.4234036322318101,12.663812725027846,4,0.013040820486905087,0.042379111716603544
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,NA,ASV156,0.17501718034872815,15.738789281744694,4,0.003390465352765392,0.01559390006287659
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus,Aureicoccus marinus,ASV160,2.3149236699448245e-7,17.654176901926135,4,0.001441680616954544,0.009314805929858026
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV161,0.0034252193236403664,6.175678594457793,4,0.18640701264464435,0.2555390141723964
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV165,0.3787354170448847,8.68413688793061,4,0.06949812418383304,0.13183117182270856
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,NA,NA,ASV166,1.7289644448759873e-9,30.56187514780022,4,3.760560191911035e-6,9.018676411956551e-5
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV167,0.2785234249931163,4.6337660022062765,4,0.32697959381596164,0.3576025200096027
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV168,8.540659300543943e-4,7.080234907360046,4,0.13170844212547375,0.20100609574201994
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus,ASV171,0.18120555111725778,2.062851581101464,4,0.724199853343361,0.5094189718225652
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,NA,NA,ASV173,2.4537866312459884e-8,2.6875629428833974,4,0.6113926855875254,0.46800363830995345
Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA,ASV174,6.57332534981898e-11,50.13775755843365,4,3.379454715343451e-10,1.9339438184456693e-8
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV176,0.30414461400657666,2.03341788687338,4,0.7296122892143734,0.510351269133565
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,ASV179,0.46956864210395544,8.646816350981716,4,0.07055981827425113,0.1326333867788755
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella poriferorum,ASV183,3.564381855280725e-5,24.52362322591314,4,6.271417777108232e-5,8.098613644014224e-4
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV184,0.0036743422148515998,14.78472377832874,4,0.005169186794913454,0.021969158946990443
Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae,NA,NA,ASV187,1.3130579838745328e-17,12.414060803052116,4,0.01452370107258334,0.04349090938680272
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia marina,ASV191,6.0352052774933763e-5,19.612149392084902,4,5.955851155284765e-4,0.005127403844148298
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV193,1.835641718525693e-8,7.844495341699695,4,0.09744351511613375,0.16037662530538838
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,NA,ASV194,0.7642658907356927,9.245998936312933,4,0.055236338649034294,0.11239816872026229
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV195,0.029433395686554373,13.198644349401366,4,0.010344884642093724,0.036561191693402835
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV197,4.760513311959557e-11,13.935545444294677,4,0.0075036348730941355,0.02963951299260341
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV200,4.969213485166414e-18,26.134311630824588,4,2.9731213333372947e-5,4.991153580674223e-4
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV201,7.427862693190687e-7,10.547898290652434,4,0.03214356058477618,0.07600180981203354
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,NA,NA,ASV203,0.4558196383857894,11.436581858349916,4,0.022071741959197137,0.05846149430997945
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV205,0.041756831512046344,3.205849483358109,4,0.5239866729780741,0.4367006491759352
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,NA,ASV206,4.305819936831481e-8,1.8517799684818301,4,0.7629965312809146,0.5238369979484857
Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Pelagibacter,Candidatus Pelagibacter ubique,ASV207,0.0183095733134063,9.311175563640461,4,0.05377515413942276,0.11076750043026833
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,ASV218,8.706362349840165e-9,30.249456470034513,4,4.3541801244916705e-6,9.722850284378119e-5
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV222,2.4960385068356005e-11,21.575232272139132,4,2.4345787321602017e-4,0.002477012396122029
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter salsuginis,ASV228,0.3487030702893514,12.442463673709302,4,0.014347116697333748,0.04339702397890815
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV237,0.38892323068154305,8.732852196690803,4,0.06813502080552003,0.1308827203722035
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV243,6.857877658719154e-6,5.555193136881723,4,0.23492038969478538,0.28966056881406765
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV248,0.003402086485393435,11.216613986716524,4,0.024234464637768436,0.06307569085531711
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV250,8.298978779955942e-12,12.241120727376922,4,0.015645468782304772,0.04567820571688444
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV252,6.083479546823784e-6,7.081876212852425,4,0.13162418711035173,0.20100609574201994
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Thaumasiovibrio,Thaumasiovibrio occultus,ASV253,0.2554406153790605,9.865491073948455,4,0.0427554571098466,0.09699472914495122
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV256,4.309944611497937e-10,25.898648834701426,4,3.316905022002054e-5,5.062075882611792e-4
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV259,0.5747849694260817,7.510938276905638,4,0.11122792715829438,0.17868407725561447
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,NA,ASV261,2.5875572027471157e-8,5.2943539488992055,4,0.25840593533742184,0.30230051294991706
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter faviae,ASV264,8.073011356736417e-4,16.139789938309004,4,0.002837209486235963,0.014217881708342376
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV265,0.005543305417532955,5.154492985608842,4,0.27180969061689325,0.31377759821156814
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV266,0.004568689978469001,4.5540807427042,4,0.33618298060948926,0.36125213059206757
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV269,0.12061511440476207,7.652337460704146,4,0.105176456528189,0.17059507362502524
Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Pelagibacter,Candidatus Pelagibacter ubique,ASV270,0.026859557843002438,4.167121600342574,4,0.3838606177067699,0.3824388054718837
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,ASV271,0.13098550094360542,4.730235182895472,4,0.3161132689715767,0.3502824619378284
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tritonibacter,Tritonibacter multivorans,ASV272,1.4806458542129148e-7,22.51919261103473,4,1.5794126993298074e-4,0.0018285882459344223
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,ASV273,3.685801691200724e-7,17.96594210069567,4,0.0012531557565468008,0.008494164613429148
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,NA,NA,ASV275,0.002873286023513486,15.211871527694662,4,0.004281364149846404,0.01891415187401696
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV279,0.003922843203043527,12.080209008852222,4,0.01676467156138168,0.0473005710817023
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV280,6.029955883077109e-4,1.6904662294299733,4,0.7924487090515079,0.530012047105971
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV282,4.1795559108499013e-7,7.2474423913978425,4,0.12337566869850894,0.1944769846540183
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,NA,ASV283,0.2261629586963335,2.82971438105734,4,0.5867144467976504,0.4610738371005116
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV285,7.810521645885401e-8,14.274183387596663,4,0.006469484407284584,0.026367027730040706
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella algicola,ASV288,0.0011764591332552037,11.05347377501709,4,0.025969570803641182,0.06506961990184959
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV289,1.0835477078612233e-4,2.449597387465399,4,0.6536833252598098,0.48235570607058553
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV291,1.6940838030762238e-4,16.666832885094102,4,0.002243281978351404,0.01255309782031056
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV292,0.9337037454105859,9.329661258817385,4,0.05336748395944106,0.11076750043026833
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,ASV294,2.1932326416005904e-8,15.225059395835121,4,0.00425648484386782,0.01891415187401696
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium hamelinense,ASV296,1.5501684347256587e-5,28.797194776446034,4,8.595076989982506e-6,1.6032290080572508e-4
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV297,8.204345839858791e-5,8.039965779118543,4,0.09012511888047384,0.1523695414811458
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum holothuriorum,ASV299,0.03097080690917332,9.12174765561115,4,0.05812737424880628,0.11548146819869451
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,Pseudoteredinibacter isoporae,ASV302,0.022972213321455166,0.3824861762716061,4,0.9838855355460123,0.5785311712773876
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudooceanicola,NA,ASV304,7.701727452579771e-9,40.30954975675293,4,3.735088481606425e-8,1.7915178944930653e-6
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV310,1.8269901291865365e-12,9.454798131383338,4,0.05068437743464613,0.10839088443396146
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV316,0.3839587359186561,13.742427667280577,4,0.008164159089033342,0.03187361362158689
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter marinus,ASV317,1.6569618654728823e-4,15.82000790173985,4,0.003270444842159538,0.01546130171119045
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax profundi,ASV318,0.15921694143191553,0.7852707733184111,4,0.9404117450658546,0.5652110419797785
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV320,0.05855229279712593,4.937591647830018,4,0.2937611329047722,0.33209029284427455
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia thalassica,ASV322,1.7536899697244703e-4,0.31290592756789365,4,0.9889658941920835,0.5805018149458314
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium hamelinense,ASV323,0.003914038711617943,9.345058455175955,4,0.05303017767250281,0.11076750043026833
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV325,1.757616633960633e-5,12.953815202122053,4,0.011503679746076514,0.039013946513813014
Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Oceanicaulis,Oceanicaulis stylophorae,ASV328,0.01541523283365342,18.780904810023223,4,8.677863115185276e-4,0.006937161432442309
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV333,0.6360780151146677,6.4566293327437245,4,0.16754368148487506,0.2368537851898291
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus fucicola,ASV338,4.498409223600671e-6,5.651964923797466,4,0.22669105610230098,0.28613504037719534
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV339,0.005873878051338195,9.015458381424434,4,0.06071425423522088,0.11921004462134063
